name,latitude,longitude
ADCB Metro Station,25.2445100,55.2982120
Al Jafiliya Metro Station,25.2336,55.2921
Oud Metha Metro Station,25.23685,55.31419
Trade Centre Metro Station,25.2248190,55.2836260
Emirates Towers Metro Station,25.2173,55.2799
Al Ghubaiba Metro Station,25.2644,55.2889
Burjuman Metro Station,25.2547,55.3043
Healthcare City Metro Station,25.2309,55.3229
Rashidiya Metro Station,25.22499,55.38947
Emirates Metro Station,25.2393920,55.3665690
GGICO Metro Station,25.249500°,55.34
Terminal 3 ,25.2456640,55.3600980
Al Qiyadah Metro Station,25.2776,55.3527
Abu Hail Metro Station,25.2759770,55.3468520
Deira City Centre,25.2522170,55.3322540
Palm Deira Metro Stations,25.27143,55.30207
Salah Al Din Metro Station,25.2701,55.3209
Al Ras Metro Station,25.2682160,55.2935090
Etisalat Metro Station,25.25497,55.40092
Al Rigga Metro Station,25.26797,55.31272
Baniyas Square Metro Station,25.2693,55.3076
Abu Baker Al Siddique Metro Station,25.2709,55.3328
Airport Terminal 1 Metro Station,28.5653,77.1224
Financial Centre,25.2108220,55.2755320
First Abu Dhabi Bank Metro Station,25.1267,55.209
Dubai Internet City,25.1021650,55.1739010
Airport Free Zone,25.2698280,55.3751500
Sharaf Dg Metro Station,25.2579350,55.2981020
Al Fahidi Metro Station,25.2589210,55.2957990
STADIUM Metro Station,25.277448,55.362178
Business Bay Metro Station,25.1913,55.2603
Al Qusais Metro Station,25.26718,55.38932
Noor Bank Metro Station,25.155674,55.228535
Creek Metro Station,25.2191,55.3389
Buj Khalifa Dubai Mall Metro Station,25.1972,55.2744
Union Metro Station,25.2659920,55.3137710
Nakheel Metro Station,25.0888,55.1581
Damac Properties,25.0799530,55.1475940
Al Nahda Metro Station,25.2727110,55.3693930
Jumeirah Lakes Towers,25.20795,55.24969
Media City,25.0962570,55.1735670
Mina Seyahi,25.0910450,55.1486460
Marina Mall Metro Station,,
Marina Towers,25.0714990,55.13777
Dubai Marina,25.0786410,55.1352520
Jumeirah Beach Residency,25.0778020,55.1351810
Palm Jumeirah,25.1180880,55.1342010
Knowledge Village,25.1118420,55.173926
Jumeirah Beach Resdency,25.0763,55.141974
Al Sufouh,25.1095360,55.1722140
Al Jadaf Metro Station,25.225,55.3336
DANUBE Metro Station,25.001297,55.095679
UAE Exchange Metro Station,24.9775200,55.0910380
Harbour Tower,25.2051,55.3449
Ibn Battuta Metro Station,25.0453740,55.1168810
ENERGY Metro Station,25.0263210,55.1012850

